Organization,Ftype,RoundUSS,Investor,NXTP Labs,Monashees,Kaszek Ventures,Mountain Nazca,Redpoint eventures,Bozano Investimentos,Aurus,Investo,Alta Ventures Mexico,ALLVP,Angel Ventures,IGNIA,CRP Companhia de Participaçõe,e.Bricks Ventures,Confrapar,Magma Partners,CORFO,SP Ventures,DGF Investimentos,Mercado Libre Fund,Inseed Investimentos,Criatec 2,Astella Investimentos,DILA Capital,Velum Ventures,FCP,Scale Capital,Alaya Capital,Polymath,Primary Ventures,T2m Capital,Omidyar Network,Elevar Equity,Quona Capital,Gray Matters Capital,Performa Investimentos,Vox Capital,Promotora Social México,Pomona Impact,MOV Investimentos
Bom Consórcio,Seed,"651,550.69",Bozano Investimentos,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escale,Series C,"22,600,000.00","Global Founders Capital, Kaszek Ventures, Redpoint eventures",,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carenet Longevity,Series A,"521,240.55",Inseed Investimentos,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
The Not Company,Series A,"30,000,000.00","IndieBio, Jeff Bezos, Kaszek Ventures, The Craftory",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fondeadora,Seed,"1,500,000.00",IGNIA,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Destácame,Series A,"3,000,000.00","Accion Venture Lab, Fen Ventures, Mountain Nazca",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nuweba,Seed,"4,800,000.00","Magma Partners, Target Global",,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Rapyd,Series B,"40,000,000.00","General Catalyst, IGNIA, Stripe, Target Global",,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adianta,Venture - Series Unknown,"2,151,694.46","42K Investimentos, Capital Lab Investments, Chromo Invest, DGF Investimentos, OsherTec, Yellow Ventures",,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
Agilis,Series A,  ,"Kaszek Ventures, QED Investors",,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crehana,Series A,"4,500,000.00","Acumen, DILA Capital, HOWZAT Partners, Mountain Nazca, Rethink Education",,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
WEEL,Series B,"6,000,000.00","Banco Votorantim, Mindset Ventures, Monashees",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VarejOnline,Series A,"803,212.85",Inseed Investimentos,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Contabilizei,Series B,"20,000,000.00","Curitiba Angels, e.Bricks Ventures, Endeavor Catalyst, FinTech Collective, International Finance Corporation, Kaszek Ventures, Point72 Ventures, Quona Capital",,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,
albo,Series A,"7,400,000.00","Greyhound Capital, Mountain Nazca, Omidyar Network",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
B2Link,Venture - Series Unknown,"15,000,000.00","Angel Ventures, Cape Securities, Delta Investment, Korea Development Bank, Korea Kolmar Co., POSCO Venture Capital, Premier Partners",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arcus,Series A,"5,000,000.00","Chilango Ventures, IGNIA",,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Citysense Co.,Seed,"1,700,000.00","Angel Ventures, CLIN, Fondo Alerce Venture Capital",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liftit,Series A,"14,300,000.00","Alpha4 Ventures, IFC Venture Capital Group, Jaguar Ventures, Mercado Libre Fund, Monashees, NXTP Labs, Western Technology Investment",1,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Gesto Saúde e Tecnologia,Series B,  ,"DGF Investimentos, Endeavor Catalyst, Redpoint eventures",,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
BEWE (formerly miora),Venture - Series Unknown,,"DILA Capital, Mountain Nazca, Seaya Ventures, Toro Ventures, VARIV Capital, VentureCity Inc.",,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Lentesplus,Series C,"5,000,000.00","IGNIA, InQlab, Palm Drive Capital",,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuintoAndar,Series C,"65,997,888.07","General Atlantic, Kaszek Ventures, QED Investors, Qualcomm Ventures, Ruane, Cunniff & Goldfarb",,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EmCasa,Series A,  ,"Canary, Class 5 Global, MAYA Capital, Monashees, Next Billion Ventures, ONEVC, Pear Ventures, Vy Capital",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOMENTUS,Seed,"8,300,000.00","Ben Davenport, Liquid 2 Ventures, Mountain Nazca, One Way Ventures, Prime Movers Lab, Y Combinator",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UnDosTres,Series A,"6,500,000.00","Dalus Capital, IGNIA, InnoCells",,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Takeoff Tech,Series B,"20,520,000.00",IGNIA,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RetailApp,Series A,"1,500,000.00","Alpha4 Ventures, IndicatorCapital, NXTP Labs",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bom Pra Crédito,Series A,"5,849,508.11","Astella Investimentos, Innova Capital Consultoria Ltda (Brazil)",,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Loggi,Series D,"111,000,000.00","Kaszek Ventures, SoftBank Vision Fund",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trendier,Series B,"3,300,000.00","Antai Venture Builder, Bonsai Venture Capital SCR, IGNIA, Pedralbes Partners",,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base Operations,Seed,  ,"Glasswing Ventures, Good Growth Capital, Magma Partners, Techstars, Vela Partners",,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Dvdendo,Series A,"3,250,000.00","DILA Capital, Ideas & Capital",,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Justto,Series A,"608,568.65",Inseed Investimentos,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
BizCapital,Series A,"4,868,549.17","Chromo Invest, Monashees, Quona Capital",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Omiexperience,Series A,"6,085,686.47",Astella Investimentos,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Yellow,Series A,"63,000,000.00","Base10 Partners, Class 5 Global, GGV Capital, Grishin Robotics, Monashees",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambar Technologies,Series A,"13,000,000.00","e.Bricks Ventures, Endeavor Catalyst, TPG Alternative & Renewable Technologies",,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Sellbie,Series A,"635,647.09",Inseed Investimentos,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Kinedu,Series A,"3,000,000.00","Be Curious Partners, DILA Capital, IGNIA, Promotora Social México, StartX (Stanford-StartX Fund), Stella Maris Partners",,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,
MineSense Technologies,Series D,"23,500,000.00","ABB Technology Ventures, Aurus, Caterpillar, Chrysalix Venture Capital, Cycle Capital, Mitsubishi Corporation, Prelude Ventures, LLC",,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OmniBnk,Seed,"1,600,000.00",Magma Partners,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Birdie,Pre-Seed,"430,000.00",DGF Investimentos,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
Grin Scooters,Seed,"7,000,000.00","500 Startups, Ariel Poler, Base10 Partners, Investo, Liquid 2 Ventures, M Ventures, Monashees, Pi Campus, Qasar Younis, Sinai Ventures, Y Combinator",,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLUVIP,Series A,"4,500,000.00","Cisneros Group, TheVentureCity, Velum Ventures",,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
OneGrid,Series A,"523,149.36",Inseed Investimentos,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Rebus Technology,Seed,"30,000.00",Magma Partners,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
REBEL,Series A,"5,231,493.59",Monashees,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kavak,Funding Round,  ,Kaszek Ventures,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TinyBytes Games,Series A,"988,000.00","Incutex Company Builders, Initial",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cinnecta,Series A,"793,021.41",Inseed Investimentos,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Arquivei,Series A,  ,e.Bricks Ventures,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Grin Scooters,Seed,  ,"Base10 Partners, Martin Schrimpff, Monashees",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sirena,Series A,"3,000,000.00","Dalus Capital, NXTP Labs",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SpecLab,Venture - Series Unknown,"1,189,532.12",SP Ventures,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Konfio,Series C,"25,000,000.00","International Finance Corporation, Jaguar Ventures, Kaszek Ventures, QED Investors, Quona Capital, Vostok Emerging Finance",,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Flapper Technologies,Seed,"1,000,000.00","Confrapar, Travel Capitalist Ventures (USA, S Africa, Mideast, India)",,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
SeguroSimple.com,Venture - Series Unknown,"2,000,000.00","Angel Ventures, Quinvest, Tresalia Capital",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volanty,Series A,"5,000,000.00","Canary, Monashees",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facenote,Convertible Note,  ,NXTP Labs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finciero,Seed,  ,NXTP Labs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rapyd,Series B,"10,000,000.00","IGNIA, SBI Group, Target Global",,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frubana,Seed,"1,500,000.00","GE32 Capital, Kairos, Monashees",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PaggCerto,Seed,"660,851.18",Bozano Investimentos,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SpumeNews,Seed,"660,851.18",Bozano Investimentos,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yellow,Seed,"3,300,000.00","Base10 Partners, Brendan Wallace, GGV Capital, Grishin Robotics, Monashees",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capitalizarme,Venture - Series Unknown,"1,400,000.00","Alan Guendelman, Aurus, Francisco Larrain, Francisco Perez, Pablo Valenzuela",,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CryptoMKT,Seed,"600,000.00","ConsenSys Ventures, Magma Partners",,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Credijusto,Series B,"11,000,000.00","IGNIA, Kaszek Ventures, QED Investors",,,1,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hash Lab,Series A,  ,Kaszek Ventures,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BluePex,Series A,"825,536.60",Inseed Investimentos,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Intergado,Series A,"825,536.60",Inseed Investimentos,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
back4app,Seed,"730,000.00","Alchemist Accelerator, Angivest Ventures, Gávea Angels, IndicatorCapital, Monashees, TiE Angels, Wharton Alumni Angels",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neon,Series A,"22,000,000.00","Monashees, Omidyar Network, Propel Venture Partners, Quona Capital, Yellow Ventures",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,
Mandaê,Series B,"7,100,000.00","FJ Labs, Icon Holding Company, International Finance Corporation, Mercado Libre Fund, Monashees, Performa Investimentos, Qualcomm Ventures, Tekton Ventures, UPS Strategic Enterprise Fund",,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,
Trendier,Seed,"800,000.00","Antai Venture Builder, Bonsai Venture Capital SCR, IGNIA, Pedralbes Partners",,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sr.Pago,Series B,"2,000,000.00",IGNIA,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yller,Seed,"275,178.87",Bozano Investimentos,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Convenia,Venture - Series Unknown,"275,178.87",Bozano Investimentos,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands Mobile Advertising,Venture - Series Unknown,"3,754,766.79",Confrapar,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Pay per TIC,Seed,  ,NXTP Labs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnetis,Series A,"5,400,000.00","Monashees, Redpoint eventures, Vostok Emerging Finance",,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reclame Aqui,Series A,  ,DGF Investimentos,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
Editora Sanar,Series A,  ,"e.Bricks Ventures, Vox Capital",,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,
Olist,Series B,"5,000,000.00","Endeavor Catalyst, FJ Labs, Redpoint eventures, Valor Capital Group",,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yellow,Seed,"9,000,000.00","Class 5 Global, Greyhound Capital, Grishin Robotics, Monashees",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tienda Pago,Series A,"7,500,000.00","Accion Venture Lab, Agrega Partners, Kaszek Ventures, Oikocredit International, QED Investors",,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virket,Seed,  ,IGNIA,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rede Oba Hortifruti,Private Equity,  ,Bozano Investimentos,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altave,Venture - Series Unknown,"1,525,785.78","Bozano Investimentos, Triaxis Capital",,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pipefy,Series A,"16,000,000.00","ONEVC, OpenView Venture Partners, Redpoint eventures, Trinity Ventures, Valor Capital Group",,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smartbreeder,Series A,"1,525,785.78",Inseed Investimentos,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Vérios,Series A,"1,586,817.21","e.Bricks Ventures, Startup Farm",,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Idwall,Series A,"3,000,000.00",Monashees,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Workep,Seed,"500,000.00",Magma Partners,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Ben & Frank,Seed,  ,"DILA Capital, Jaguar Ventures",,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Urbvan,Convertible Note,"800,000.00",DILA Capital,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Lentesplus,Series C,"800,000.00","IGNIA, InQlab, Stella Maris Partners",,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escale,Series B,  ,"Global Founders Capital, Kaszek Ventures, Redpoint eventures",,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
albo,Seed,"700,000.00","Eric Perez-Grovas, Greyhound Ca",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Playmove,Series A,"809,212.57",Inseed Investimentos,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Rappi,Series C,"130,000,000.00","Andreessen Horowitz, Delivery Hero, Endeavor Catalyst, FJ Labs, FLOODGATE, ONEVC, Redpoint eventures, Sequoia Capital",,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zazcar,Venture - Series Unknown,"2,334,267.04",Inseed Investimentos,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Runa HR,Seed,  ,"Brad Flora, GE32 Capital, Investo, Maschmeyer Group Ventures, Salesforce Ventures, Y Combinator",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Podcast App,Seed,"120,000.00","Armando Mann, Magma Partners, Y Combinator",,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Siteware,Seed,"560,224.09",Bozano Investimentos,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EZ Commerce,Seed,"778,089.01",Bozano Investimentos,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOFT BR,Series A,"18,000,000.00","Andreessen Horowitz, Canary, David Velez, Greyhound Capital, Monashees, Thrive Capital",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hospital Vera Cruz,Private Equity,  ,Bozano Investimentos,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caelum,Venture - Series Unknown,  ,Bozano Investimentos,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123Seguro,Seed,"3,000,000.00","Alaya Capital Partners, Mercado Libre Fund, NXTP Labs",1,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,
Digital House,Series B,"20,000,000.00","Endeavor Catalyst, Kaszek Ventures, Marcos Galperin, Martin Migoya, Omidyar Network, The Rise Fund",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Creditas,Series C,"55,000,000.00","Endeavor Catalyst, International Finance Corporation, Kaszek Ventures, Naspers, QED Investors, Quona Capital, Vostok Emerging Finance",,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
