UF,n_orgao_municipal,n_autarquia_municipal,n_consorcio_pub,n_ent_reg_estadual,n_outro_orgao_pub,n_outros
Rondonia,1,10,0,9,0,1
Acre,0,0,0,1,0,0
Amazonas,0,2,0,0,0,0
Roraima,2,0,0,0,4,0
Para,5,2,0,0,0,0
Amapa,3,0,0,0,2,0
Tocantins,2,2,0,2,0,0
Maranhao,0,0,2,0,1,0
Piaui,2,1,0,0,1,0
Ceara,6,3,0,18,0,0
Rio Grande do Norte,10,2,0,0,13,0
Paraiba,5,1,0,32,0,0
Pernambuco,30,3,0,1,15,0
Alagoas,9,2,0,0,0,0
Sergipe,2,1,0,0,0,0
Bahia,9,3,0,43,0,0
Minas Gerais,139,32,25,36,0,2
Espirito Santo,2,7,7,11,9,0
Rio de Janeiro,24,3,0,6,3,2
Sao Paulo,63,37,47,259,2,3
Parana,13,6,11,16,33,0
Santa Catarina,3,2,91,29,0,1
Rio Grande do Sul,29,5,6,73,4,0
Mato Grosso do Sul,1,3,0,22,0,0
Mato Grosso,2,2,0,1,0,2
Goias,2,5,0,19,7,0
Distrito Federal,0,0,0,1,0,0
